"Text","TC name","text ID","typ_ID","right visible:"," ","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","right active:","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","state internal:","validation","protocol","PDA","signature required","operate at <> 0 degree","Force to format value","No safety check","phys. min","phys. max","read/write","Format"
"Cam code reader leaflet code 1","CodeLeafUnderside_CAM_ReadRelease",11074,"Winkel",457,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Section carton code","CodeCarton_CON_SEC",15481,"Config",42,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
"Section leaflet code 1","CodeLeafUnderside_CON_SEC",10363,"Config",35,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
"Section label code","CodeLabel_CON_SEC",15276,"Config",66,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
"Serial error carton code","CodeCarton_CON_SerialError",10340,"Config",43,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"w","f"
"Serial error leaflet code 1","CodeLeafUnderside_CON_SerialError",10338,"Config",36,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"w","f"
"Serial error label code","CodeLabel_CON_SerialError",15256,"Config",68,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"w","f"
"CODE READER CARTON","CodeCarton_SET_H",15158,"Notiz",260,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"w","f"
"Carton code height","CodeCarton_SET_Height",12083,"Notiz",261,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Carton code length","CodeCarton_SET_Length",12084,"Notiz",262,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
"Program number code reader","CodeCarton_SET_ProgNumber",14172,"Notiz",263,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"
